transaction ID,items
<<<<<<< HEAD
1,1
1,14
1,22
1,23
1,29
1,37
1,62
1,64
1,67
1,78
1,83
1,88
1,99
2,4
2,8
2,13
2,17
2,19
2,23
2,24
2,25
2,31
2,35
2,38
2,44
2,45
2,46
2,47
2,50
2,51
2,56
2,61
2,62
2,64
2,71
2,72
2,73
2,76
2,83
2,86
2,94
3,5
3,6
3,15
3,19
3,26
3,33
3,47
3,48
3,50
3,59
3,62
3,66
3,69
3,81
3,83
3,84
3,90
3,92
3,93
3,99
4,1
4,3
4,6
4,7
4,9
4,12
4,13
4,14
4,15
4,16
4,18
4,21
4,22
4,24
4,28
4,35
4,47
4,56
4,59
4,64
4,73
4,80
4,81
4,83
4,86
4,97
4,100
5,4
5,16
5,34
5,41
5,46
5,48
5,52
5,58
5,67
5,71
5,78
5,79
5,86
6,5
6,13
6,14
6,16
6,24
6,37
6,38
6,39
6,45
6,51
6,53
6,63
6,72
6,92
6,95
6,100
7,3
7,9
7,14
7,20
7,27
7,35
7,43
7,54
7,55
7,58
7,62
7,64
7,67
7,80
7,81
7,87
7,90
7,91
7,93
7,94
7,100
8,2
8,8
8,14
8,16
8,22
8,25
8,28
8,31
8,32
8,42
8,48
8,53
8,57
8,58
8,68
8,69
8,79
8,81
8,82
8,84
8,86
8,89
8,91
8,93
8,97
8,100
9,4
9,7
9,10
9,11
9,20
9,26
9,27
9,39
9,42
9,44
9,45
9,47
9,51
9,63
9,64
9,80
9,81
9,90
9,91
9,96
9,97
10,9
10,20
10,27
10,28
10,36
10,37
10,38
10,42
10,44
10,57
10,68
10,76
10,80
10,84
10,86
10,92
=======
1,2
1,5
1,8
2,1
2,7
2,8
3,8
3,10
4,1
4,7
6,2
6,3
7,3
8,2
8,7
8,9
10,4
10,6
10,9
10,10
11,4
11,5
11,8
13,6
13,9
14,4
14,7
15,6
15,10
16,7
16,10
17,4
17,9
17,10
18,1
18,6
18,10
19,1
19,4
19,5
20,4
20,6
>>>>>>> d59294bb38c0a076fbf0dc559f99abbc6f0910e0
